FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,category_ES-L1,category_GEO,category_GTO,category_HEO,category_ISS,category_LEO,category_MEO,category_PO,category_SO,category_SSO,category_VLEO,category_CCSFS SLC 40,category_KSC LC 39A,category_VAFB SLC 4E,category_5e9e3032383ecb267a34e7c7,category_5e9e3032383ecb554034e7c9,category_5e9e3032383ecb6bb234e7ca,category_5e9e3032383ecb761634e7cb,category_5e9e3033383ecbb9e534e7cc,category_B0003,category_B0005,category_B0007,category_B1003,category_B1004,category_B1005,category_B1006,category_B1007,category_B1008,category_B1010,category_B1011,category_B1012,category_B1013,category_B1015,category_B1016,category_B1017,category_B1018,category_B1019,category_B1020,category_B1021,category_B1022,category_B1023,category_B1025,category_B1026,category_B1028,category_B1029,category_B1030,category_B1031,category_B1032,category_B1034,category_B1035,category_B1036,category_B1037,category_B1038,category_B1039,category_B1040,category_B1041,category_B1042,category_B1043,category_B1044,category_B1045,category_B1046,category_B1047,category_B1048,category_B1049,category_B1050,category_B1051,category_B1054,category_B1056,category_B1058,category_B1059,category_B1060,category_B1062
11.0,2216.0,ISS,CCSFS SLC 40,1.0,False,False,False,,1.0,0.0,B1010,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.0,2395.0,ISS,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb761634e7cb,1.0,0.0,B1012,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.0,570.0,ES-L1,CCSFS SLC 40,1.0,True,False,True,,1.0,0.0,B1013,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14.0,1898.0,ISS,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb761634e7cb,1.0,0.0,B1015,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.0,4707.0,GTO,CCSFS SLC 40,1.0,False,False,False,,1.0,0.0,B1016,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16.0,2477.0,ISS,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0.0,B1018,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17.0,2034.0,LEO,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0.0,B1019,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18.0,553.0,PO,VAFB SLC 4E,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0.0,B1017,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,5271.0,GTO,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0.0,B1020,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.0,3136.0,ISS,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1021,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.0,4696.0,GTO,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0.0,B1022,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.0,3100.0,GTO,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1023,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23.0,2257.0,ISS,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb267a34e7c7,2.0,1.0,B1025,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.0,4600.0,GTO,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0.0,B1026,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25.0,5500.0,GTO,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,0.0,B1028,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26.0,9600.0,PO,VAFB SLC 4E,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1029,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27.0,2490.0,ISS,KSC LC 39A,1.0,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1031,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28.0,5600.0,GTO,KSC LC 39A,1.0,False,False,False,,3.0,0.0,B1030,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29.0,5300.0,GTO,KSC LC 39A,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1021,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30.0,6123.547647058824,LEO,KSC LC 39A,1.0,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1032,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31.0,6070.0,GTO,KSC LC 39A,1.0,False,False,False,,3.0,0.0,B1034,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32.0,2708.0,ISS,KSC LC 39A,1.0,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1035,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33.0,3669.0,GTO,KSC LC 39A,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1.0,B1029,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34.0,9600.0,PO,VAFB SLC 4E,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1036,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35.0,6761.0,GTO,KSC LC 39A,1.0,False,False,False,,3.0,0.0,B1037,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36.0,2910.0,ISS,KSC LC 39A,1.0,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1.0,B1039,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37.0,475.0,SSO,VAFB SLC 4E,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1038,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38.0,4990.0,LEO,KSC LC 39A,1.0,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1.0,B1040,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39.0,9600.0,PO,VAFB SLC 4E,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,4.0,1.0,B1041,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40.0,5200.0,GTO,KSC LC 39A,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1.0,B1031,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41.0,3700.0,GTO,KSC LC 39A,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,0.0,B1042,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42.0,2205.0,ISS,CCSFS SLC 40,2.0,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1035,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43.0,9600.0,PO,VAFB SLC 4E,2.0,True,True,False,,3.0,1.0,B1036,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44.0,6123.547647058824,LEO,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1.0,B1043,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45.0,4230.0,GTO,CCSFS SLC 40,2.0,True,True,True,,3.0,1.0,B1032,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46.0,6092.0,GTO,CCSFS SLC 40,1.0,True,False,True,,4.0,0.0,B1044,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
47.0,9600.0,PO,VAFB SLC 4E,2.0,True,True,True,,4.0,1.0,B1041,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48.0,2760.0,ISS,CCSFS SLC 40,2.0,True,True,True,,4.0,1.0,B1039,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49.0,350.0,HEO,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,1.0,B1045,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
50.0,3750.0,GTO,KSC LC 39A,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1046,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
51.0,5383.85,GTO,CCSFS SLC 40,2.0,False,True,False,,4.0,1.0,B1040,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52.0,2410.0,ISS,CCSFS SLC 40,2.0,False,True,False,,4.0,1.0,B1045,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
53.0,7076.0,GTO,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1047,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
54.0,9600.0,PO,VAFB SLC 4E,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,4.0,B1048,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55.0,5800.0,GTO,CCSFS SLC 40,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1046,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
56.0,7060.0,GTO,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
57.0,2800.0,SSO,VAFB SLC 4E,2.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,4.0,B1048,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
58.0,3000.0,GTO,KSC LC 39A,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1047,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
59.0,4000.0,SSO,VAFB SLC 4E,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,3.0,B1046,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
60.0,2573.0,ISS,CCSFS SLC 40,1.0,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0.0,B1050,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
61.0,4400.0,MEO,CCSFS SLC 40,1.0,False,False,False,,5.0,0.0,B1054,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
62.0,9600.0,PO,VAFB SLC 4E,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1049,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
63.0,12259.0,ISS,KSC LC 39A,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
