Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,2 March 2015,16
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Failure,14 April 2015,17
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1,No attempt,27 April 2015,18
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1,Precluded,28 June 2015,19
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 FT,Success,22 December 2015,20
21,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",F9 v1.1,Failure,17 January 2016,21
22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",F9 FT,Failure,4 March 2016,22
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 FT,Success,8 April 2016,23
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,6 May 2016,24
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,27 May 2016,25
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",F9 FT,Failure,15 June 2016,26
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,18 July 2016,27
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,14 August 2016,28
29,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,14 January 2017,29
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",F9 FT,Success,19 February 2017,30
31,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,16 March 2017,31
32,KSC,SES-10,"5,300 kg",GTO,SES,Success,F9 FT♺,Success,30 March 2017,32
33,KSC,NROL-76,C,LEO,NRO,"Success
",F9 FT,Success,1 May 2017,33
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,No attempt,15 May 2017,34
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FT,Success,3 June 2017,35
36,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FTB1029.2,Success,23 June 2017,36
37,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,25 June 2017,37
38,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",F9 FT,No attempt,5 July 2017,38
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",F9 B4,Success,14 August 2017,39
40,VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",F9 FT,Success,24 August 2017,40
41,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",F9 B4,Success,7 September 2017,41
42,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4,Success,9 October 2017,42
43,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",F9 FTB1031.2,Success,11 October 2017,43
44,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",F9 B4,Success,30 October 2017,44
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",F9 FTB1035.2,Success,15 December 2017,45
46,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1036.2,Controlled,23 December 2017,46
47,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,F9 B4,Success,8 January 2018,47
48,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,F9 FTB1032.2,Controlled,31 January 2018,48
49,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,F9 FTB1038.2,No attempt,22 February 2018,49
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,F9 B4,No attempt,6 March 2018,50
51,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4B1041.2,No attempt,30 March 2018,51
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,F9 B4B1039.2,No attempt,2 April 2018,52
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,F9 B4,Success,18 April 2018,53
54,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,F9 B5B1046.1,Success,11 May 2018,54
55,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,F9 B4B1043.2,No attempt,22 May 2018,55
56,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,F9 B4B1040.2,No attempt,4 June 2018,56
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,F9 B4B1045.2,No attempt,29 June 2018,57
58,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,F9 B5,Success,22 July 2018,58
59,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B5B1048,Success,25 July 2018,59
60,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,F9 B5B1046.2,Success,7 August 2018,60
61,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,F9 B5,Success,10 September 2018,61
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,F9 B5B1048.2,Success,8 October 2018,62
63,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,F9 B5B1047.2,Success,15 November 2018,63
64,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,F9 B5B1046.3,Success,3 December 2018,64
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",F9 B5,Failure,5 December 2018,65
66,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,F9 B5,No attempt,23 December 2018,66
67,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B5B1049.2,Success,11 January 2019,67
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",F9 B5B1048.3,Success,22 February 2019,68
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5[268],Success,2 March 2019,69
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",F9 B5,Success,4 May 2019,70
71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.3,Success,24 May 2019,71
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1051.2,Success,12 June 2019,72
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",F9 B5B1056.2,Success,25 July 2019,73
74,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",F9 B5B1047.3,No attempt,6 August 2019,74
75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,11 November 2019,75
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",F9 B5,Success,5 December 2019,76
77,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1056.3,Success,17 December 2019,77
78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 January 2020,78
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,"No attempt
",19 January 2020,79
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,29 January 2020,80
81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,17 February 2020,81
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",F9 B5,Success,7 March 2020,82
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,18 March 2020,83
84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,84
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",F9 B5,Success,30 May 2020,85
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,4 June 2020,86
87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,13 June 2020,87
88,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,Success,30 June 2020,88
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5B1058.2,Success,20 July 2020,89
90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 August 2020,90
91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5B1049.6,Success,18 August 2020,91
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",F9 B5,Success,30 August 2020,92
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2,Success,3 September 2020,93
94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3,Success,6 October 2020,94
95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6,Success,18 October 2020,95
96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,24 October 2020,96
97,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",F9 B5,Success,5 November 2020,97
98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5,Success,16 November 2020,98
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",F9 B5,Success,21 November 2020,99
100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,25 November 2020,100
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺,Success,6 December 2020,101
102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,13 December 2020,102
103,KSC,NROL-108,C,LEO,NRO,"Success
",F9 B5 ♺,Success,19 December 2020,103
104,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",F9 B5,Success,8 January 2021,104
105,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.8,Success,20 January 2021,105
106,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
",F9 B5B1058.5,Success,24 January 2021,106
107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 February 2021,107
108,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Failure,16 February 2021,108
109,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 March 2021,109
110,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,11 March 2021,110
111,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,14 March 2021,111
112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.6,Success,24 March 2021,112
113,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,7 April 2021,113
114,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
",F9 B5B1061.2,Success,23 April 2021,114
115,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.7,Success,29 April 2021,115
116,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.9,Success,4 May 2021,116
117,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.10,Success,9 May 2021,117
118,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
",F9 B5B1058.8,Success,15 May 2021,118
119,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1063.2,Success,26 May 2021,119
120,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
",F9 B5B1067.1,Success,3 June 2021,120
121,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,6 June 2021,121
